"X___1","PUMFID","PERSONID","AGEGP","SEX","MARST","PROV","IMMSTP","YRIMMGP","CMPHI","HLEV2G","CFID","CFSIZE","CFMJSI","CFATINC","CFEARNG","EFID","EFSIZE","EFATINC","HHSIZE","FWEIGHT","Province","region","sexe","statut_mat","niveau_educ"
30674,15299,1529901,11,2,1,12,6,6,1,3,"15299A01",3,2,61735,39500,"15299A",3,61735,3,124.724,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
30698,15307,1530701,16,1,5,24,6,6,2,3,"15307A01",1,4,19200,0,"15307A",1,19200,1,238.7362,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Veuf","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
30716,15315,1531501,15,1,6,13,6,6,9,9,"15315A01",1,2,79485,115000,"15315A",1,79485,1,352.3038,"Nouveau-Brunswick","Atlantique","Homme","Jamais mari<U+00E9>","Non r<U+00E9>ponse"
30748,15329,1532903,4,2,6,47,6,6,2,1,"15329A01",4,2,72090,67500,"15329A",4,72090,4,161.5677,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
30774,15341,1534101,15,1,1,59,6,6,1,4,"15341A01",2,6,71730,-2050,"15341A",2,71730,2,531.4977,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
30788,15347,1534701,6,1,6,24,6,6,2,2,"15347A01",2,2,60705,45950,"15347A",2,60705,2,520.7917,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30834,15363,1536301,15,2,99,48,1,2,1,4,"15363A01",3,4,66100,0,"15363A",3,66100,3,1455.85,"Alberta","Ouest","Femme","Non r<U+00E9>ponse","Dipl<U+00F4>me ou certificat universitaire"
30856,15371,1537104,3,2,96,24,6,6,6,6,"15371A01",5,2,77215,53000,"15371A",5,77215,5,915.9236,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
30875,15379,1537902,12,1,1,35,1,4,1,2,"15379A01",5,2,99520,120000,"15379A",5,99520,5,2491.158,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30882,15381,1538103,11,1,4,35,6,6,1,2,"15381A01",3,2,140355,125000,"15381A",4,176100,4,714.2542,"Ontario","Ontario","Homme","Divorc<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30888,15385,1538501,13,1,1,47,6,6,1,3,"15385A01",2,2,140450,192700,"15385A",2,140450,2,236.9167,"Saskatchewan","Ouest","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
30891,15386,1538602,14,2,1,35,6,6,1,2,"15386A01",2,2,41870,47500,"15386A",2,41870,2,914.6014,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30893,15387,1538702,8,2,1,35,6,6,1,4,"15387A01",3,2,92945,105500,"15387A",3,92945,3,1209.841,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
30909,15392,1539202,9,1,2,24,6,6,2,1,"15392A01",4,2,87210,88000,"15392A",4,87210,4,238.0363,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Conjoint de fait","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
30948,15407,1540702,16,2,1,11,6,6,1,2,"15407A01",2,4,44660,0,"15407A",2,44660,2,77.7119,"Ile du prince Edouard","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30950,15408,1540802,10,2,2,35,6,6,1,3,"15408A01",5,4,37025,0,"15408A",5,37025,5,1040.832,"Ontario","Ontario","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
30972,15416,1541602,14,1,1,35,6,6,1,2,"15416A01",3,2,86655,87000,"15416A",3,86655,3,134.936,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
30976,15418,1541801,13,2,1,48,1,1,1,2,"15418A01",3,2,196300,152500,"15418A",3,196300,3,547.3065,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31001,15426,1542604,16,2,5,35,1,5,1,2,"15426A02",1,4,21575,0,"15426A",4,105630,4,1683.642,"Ontario","Ontario","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31008,15429,1542904,1,1,96,24,6,6,6,6,"15429A01",4,2,67350,55000,"15429A",4,67350,4,268.2047,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
31035,15443,1544302,9,1,2,24,6,6,1,4,"15443A01",3,4,62315,25500,"15443A",3,62315,3,231.6083,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Conjoint de fait","Dipl<U+00F4>me ou certificat universitaire"
31039,15446,1544601,16,2,1,13,6,6,1,2,"15446A01",2,4,34550,225,"15446A",2,34550,2,268.6057,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31050,15452,1545203,7,1,6,46,2,6,1,2,"15452B01",1,2,25195,21000,"15452B",1,25195,2,362.1139,"Manitoba","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31083,15465,1546506,2,1,96,35,6,6,6,6,"15465A01",6,2,82320,75750,"15465A",6,82320,6,757.9778,"Ontario","Ontario","Homme","Non applicable","Non applicable"
31150,15493,1549302,1,1,96,35,6,6,6,6,"15493A01",2,4,17850,8250,"15493A",2,17850,2,337.528,"Ontario","Ontario","Homme","Non applicable","Non applicable"
31151,15494,1549401,14,1,4,35,6,6,2,1,"15494A01",1,4,14675,0,"15494A",1,14675,1,561.2257,"Ontario","Ontario","Homme","Divorc<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31237,15531,1553101,14,2,1,35,1,3,2,1,"15531A01",3,4,34000,0,"15531A",3,34000,3,1919.213,"Ontario","Ontario","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31240,15532,1553201,8,2,6,47,6,6,1,3,"15532A01",3,2,48505,41000,"15532A",3,48505,3,86.6573,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31258,15538,1553801,11,1,1,11,6,6,2,1,"15538A01",4,2,73360,59750,"15538A",4,73360,4,60.1465,"Ile du prince Edouard","Atlantique","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31292,15552,1555203,4,2,6,24,6,6,2,1,"15552A02",1,1,0,0,"15552A",3,63030,3,235.6796,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31298,15555,1555502,6,1,6,10,6,6,1,2,"15555A01",2,2,38730,19000,"15555A",2,38730,2,100.5322,"Terre-Neuve-et-Labrador","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31340,15570,1557001,9,1,1,35,1,1,1,4,"15570A01",4,4,15350,0,"15570A",4,15350,4,1999.661,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31347,15573,1557301,12,2,1,35,2,6,1,2,"15573A01",4,2,127755,137000,"15573A",4,127755,4,2536.053,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31373,15583,1558305,2,2,96,59,6,6,6,6,"15583A01",5,2,51155,48000,"15583A",5,51155,5,363.423,"Colombie Britanique","Colombie Britanique","Femme","Non applicable","Non applicable"
31389,15591,1559101,8,1,6,35,2,6,1,3,"15591A01",1,2,41115,47000,"15591A",1,41115,2,2594.896,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31404,15595,1559502,10,1,1,59,6,6,1,3,"15595A01",7,2,125990,101000,"15595A",7,125990,7,826.4942,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31420,15599,1559902,11,2,1,35,2,6,1,4,"15599A01",2,2,156455,210000,"15599A",2,156455,2,1222.4,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31445,15609,1560904,1,2,96,24,6,6,6,6,"15609A01",4,4,19900,0,"15609A",4,19900,4,309.2847,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
31453,15613,1561301,13,1,1,48,6,6,1,2,"15613A01",3,5,62620,21400,"15613A",3,62620,3,215.1598,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31464,15617,1561703,3,2,96,24,6,6,6,6,"15617A01",3,2,83960,92500,"15617A",3,83960,3,170.7741,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
31485,15626,1562602,14,2,1,47,6,6,1,3,"15626A01",2,2,70870,85000,"15626A",2,70870,2,172.983,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31512,15637,1563704,3,1,96,24,6,6,6,6,"15637A01",4,2,152925,140000,"15637A",4,152925,4,2408.191,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
31519,15639,1563904,4,2,6,24,6,6,2,1,"15639A01",4,2,201615,262750,"15639A",4,201615,4,962.1778,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31538,15650,1565001,16,2,5,35,6,6,2,1,"15650A01",1,4,21975,0,"15650A",1,21975,1,970.6627,"Ontario","Ontario","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31540,15651,1565102,10,1,1,35,6,6,1,2,"15651A01",5,2,56470,43500,"15651A",5,56470,5,700.2306,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31562,15658,1565801,12,1,1,24,6,6,1,2,"15658A01",2,6,40990,19000,"15658A",2,40990,2,231.9805,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31572,15664,1566401,9,2,2,35,6,6,1,4,"15664A01",4,2,112960,118000,"15664A",4,112960,4,752.3503,"Ontario","Ontario","Femme","Conjoint de fait","Dipl<U+00F4>me ou certificat universitaire"
31612,15681,1568102,16,2,1,24,2,6,2,1,"15681A01",2,6,80500,15550,"15681A",2,80500,2,1707.446,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
31657,15700,1570002,9,1,2,35,6,6,1,2,"15700A01",4,2,92470,99500,"15700A",4,92470,4,320.2966,"Ontario","Ontario","Homme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31679,15711,1571101,16,2,1,48,6,6,1,3,"15711A01",2,4,39700,7750,"15711A",2,39700,2,832.0216,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31687,15715,1571502,12,2,1,48,6,6,1,3,"15715A01",2,2,599430,830000,"15715A",2,599430,2,179.6792,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31701,15723,1572301,11,1,1,47,6,6,1,3,"15723A01",2,2,56560,56000,"15723A",2,56560,2,195.7843,"Saskatchewan","Ouest","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31750,15743,1574302,8,1,1,46,2,6,1,4,"15743A01",7,2,94045,91500,"15743A",7,94045,7,320.6611,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31793,15759,1575902,7,2,6,35,6,6,1,3,"15759A01",2,2,61155,68000,"15759A",2,61155,2,663.8008,"Ontario","Ontario","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31822,15771,1577101,10,1,1,35,1,1,1,4,"15771A01",3,2,47780,46000,"15771A",3,47780,3,1857.667,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31839,15779,1577901,16,1,1,48,6,6,2,2,"15779A01",2,4,53600,0,"15779A",2,53600,2,375.0354,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31842,15781,1578101,9,2,6,47,6,6,1,4,"15781A01",1,2,15200,13750,"15781A",1,15200,1,312.7374,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31855,15786,1578601,11,2,3,47,6,6,1,3,"15786A01",3,2,105470,76700,"15786A",3,105470,3,275.0652,"Saskatchewan","Ouest","Femme","S<U+00E9>par<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31877,15797,1579701,11,2,6,13,6,6,1,3,"15797A01",3,6,114870,24250,"15797A",3,114870,3,129.6541,"Nouveau-Brunswick","Atlantique","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
31889,15801,1580103,3,1,96,24,6,6,6,6,"15801A01",5,2,92850,101500,"15801A",5,92850,5,131.0334,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
31896,15803,1580304,2,2,96,35,6,6,6,6,"15803A01",4,3,57775,77500,"15803A",4,57775,4,945.719,"Ontario","Ontario","Femme","Non applicable","Non applicable"
31899,15804,1580403,3,2,96,10,6,6,6,6,"15804A01",4,2,57220,39000,"15804A",4,57220,4,238.0851,"Terre-Neuve-et-Labrador","Atlantique","Femme","Non applicable","Non applicable"
31902,15806,1580601,16,1,1,35,6,6,1,4,"15806A01",2,6,74675,0,"15806A",2,74675,2,702.8344,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
31920,15813,1581301,12,2,1,13,6,6,1,2,"15813A01",2,2,55220,61500,"15813A",2,55220,2,291.0537,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
31986,15847,1584701,14,2,1,24,6,6,1,3,"15847A01",2,6,62715,25,"15847A",2,62715,2,214.0746,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32020,15861,1586101,10,1,6,48,6,6,2,3,"15861A01",2,2,67845,52000,"15861A",5,171205,5,502.8605,"Alberta","Ouest","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32029,15864,1586401,14,1,1,46,2,6,1,4,"15864A01",3,2,164485,209750,"15864A",3,164485,3,383.8354,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32032,15865,1586501,13,2,1,48,6,6,1,3,"15865A01",3,2,120325,140000,"15865A",3,120325,3,102.6811,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32041,15868,1586802,16,2,1,35,6,6,1,3,"15868A01",2,6,63330,0,"15868A",2,63330,2,321.8631,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32045,15870,1587002,3,2,96,12,6,6,6,6,"15870A01",4,4,63550,4750,"15870A",4,63550,4,182.6192,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Non applicable","Non applicable"
32053,15871,1587106,1,2,96,48,6,6,6,6,"15871A02",5,2,55715,53000,"15871A",7,146545,7,651.1831,"Alberta","Ouest","Femme","Non applicable","Non applicable"
32058,15873,1587302,12,2,1,48,6,6,1,2,"15873A01",2,5,78825,26000,"15873A",2,78825,2,295.5568,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32070,15879,1587901,8,2,1,24,2,6,1,2,"15879A01",3,2,98345,102000,"15879A",3,98345,3,1220.627,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32083,15884,1588403,11,1,1,24,6,6,2,3,"15884A01",3,2,55875,58175,"15884A",3,55875,3,405.4702,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32129,15905,1590501,10,1,1,35,6,6,1,3,"15905A01",4,2,90860,82500,"15905A",4,90860,4,565.8907,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32130,15905,1590502,8,2,1,35,6,6,1,3,"15905A01",4,2,90860,82500,"15905A",4,90860,4,565.8907,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32152,15913,1591302,7,2,6,47,6,6,1,4,"15913A02",1,2,37850,28000,"15913A",2,89100,2,231.4327,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32200,15937,1593701,12,1,1,10,6,6,1,4,"15937A01",3,2,135685,142500,"15937A",3,135685,3,200.3378,"Terre-Neuve-et-Labrador","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32206,15939,1593903,16,2,5,35,6,6,2,1,"15939A02",1,4,38275,0,"15939A",7,102610,7,1594.629,"Ontario","Ontario","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32226,15946,1594602,7,2,1,10,6,6,1,4,"15946A01",3,2,126475,150500,"15946A",3,126475,3,149.3754,"Terre-Neuve-et-Labrador","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32233,15950,1595002,16,2,1,47,6,6,1,4,"15950A01",2,6,70360,0,"15950A",2,70360,2,225.8132,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32266,15963,1596301,14,2,4,46,1,5,1,3,"15963A01",1,6,47280,25000,"15963A",1,47280,1,207.6478,"Manitoba","Ouest","Femme","Divorc<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32271,15965,1596502,6,1,6,24,6,6,1,2,"15965A01",2,2,35090,18750,"15965A",2,35090,2,300.4308,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32287,15972,1597201,16,2,5,35,6,6,2,1,"15972A01",1,4,22770,0,"15972A",1,22770,1,200.5837,"Ontario","Ontario","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32292,15976,1597601,10,2,1,48,6,6,1,4,"15976A01",4,2,86805,97700,"15976A",4,86805,4,115.8665,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32314,15983,1598301,15,1,1,47,6,6,1,4,"15983A01",2,6,67990,5000,"15983A",2,67990,2,287.9506,"Saskatchewan","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32317,15984,1598402,16,1,1,13,6,6,1,4,"15984A01",2,6,85030,2075,"15984A",2,85030,2,263.2575,"Nouveau-Brunswick","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32351,16000,1600003,1,2,96,35,6,6,6,6,"16000A01",3,2,144900,172500,"16000A",3,144900,3,84.4459,"Ontario","Ontario","Femme","Non applicable","Non applicable"
32357,16004,1600402,3,2,96,48,6,6,6,6,"16004A01",2,2,69420,77500,"16004A",2,69420,2,454.9152,"Alberta","Ouest","Femme","Non applicable","Non applicable"
32376,16011,1601103,3,1,96,48,6,6,6,6,"16011A01",6,2,237435,298000,"16011A",6,237435,6,249.8129,"Alberta","Ouest","Homme","Non applicable","Non applicable"
32387,16014,1601405,2,1,96,24,6,6,6,6,"16014A01",5,3,55020,45000,"16014A",5,55020,5,287.2814,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
32390,16016,1601601,8,1,2,35,6,6,1,2,"16016A01",5,2,44790,23400,"16016A",5,44790,5,540.9174,"Ontario","Ontario","Homme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32419,16026,1602601,13,1,1,59,6,6,2,1,"16026A01",2,2,99130,120000,"16026A",2,99130,2,436.568,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32428,16030,1603002,10,2,2,24,6,6,2,1,"16030A01",5,2,85730,74250,"16030A",5,85730,5,396.1386,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32432,16031,1603101,13,2,1,48,6,6,1,3,"16031A01",2,7,124420,0,"16031A",2,124420,2,776.8302,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32472,16046,1604602,14,2,1,35,6,6,1,2,"16046A01",2,4,61170,18150,"16046A",2,61170,2,263.3179,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32487,16053,1605302,10,1,1,48,6,6,2,1,"16053A01",5,2,97045,115000,"16053A",5,97045,5,179.5737,"Alberta","Ouest","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32525,16068,1606802,16,2,5,12,6,6,2,1,"16068A01",2,4,26350,0,"16068A",2,26350,2,195.9297,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
32549,16075,1607507,2,1,96,47,6,6,6,6,"16075A01",7,4,30800,9500,"16075A",7,30800,7,266.9562,"Saskatchewan","Ouest","Homme","Non applicable","Non applicable"
32581,16092,1609201,14,2,4,35,6,6,2,3,"16092A01",1,4,13275,0,"16092A",1,13275,1,381.0417,"Ontario","Ontario","Femme","Divorc<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32609,16105,1610502,14,1,1,35,6,6,1,3,"16105A01",2,2,10675,7500,"16105A",2,10675,2,545.91,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32613,16106,1610604,3,2,96,12,6,6,6,6,"16106A01",5,2,139225,172500,"16106A",5,139225,5,734.9844,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Non applicable","Non applicable"
32619,16108,1610801,11,2,1,59,6,6,1,4,"16108A01",2,2,185850,172500,"16108A",2,185850,2,253.3757,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32642,16121,1612102,8,1,1,11,6,6,1,2,"16121A01",4,4,41005,21500,"16121A",4,41005,4,82.9331,"Ile du prince Edouard","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32650,16126,1612601,12,1,1,46,2,6,1,2,"16126A01",2,2,66760,67500,"16126A",2,66760,2,281.3975,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32661,16131,1613104,1,1,96,24,6,6,6,6,"16131A01",4,2,108660,126500,"16131A",4,108660,4,395.5209,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
32662,16132,1613201,10,2,3,35,2,6,1,3,"16132A01",1,2,51195,57500,"16132A",1,51195,1,783.2859,"Ontario","Ontario","Femme","S<U+00E9>par<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32758,16177,1617701,14,2,5,24,6,6,1,3,"16177A01",1,6,32150,0,"16177A",1,32150,1,663.2045,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Veuf","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
32786,16188,1618803,4,2,6,47,6,6,1,2,"16188A01",4,2,123050,149800,"16188A",4,123050,4,199.1274,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
32835,16214,1621402,9,2,1,24,6,6,1,4,"16214A01",4,2,113570,142500,"16214A",4,113570,4,544.2782,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32850,16220,1622002,12,2,1,47,6,6,1,4,"16220A01",2,2,106305,117500,"16220A",2,106305,2,170.3696,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32870,16229,1622902,12,1,1,35,2,6,1,4,"16229A01",2,2,283815,395000,"16229A",2,283815,2,917.8201,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32877,16232,1623201,13,2,1,48,2,6,1,4,"16232A01",2,2,146055,175000,"16232A",2,146055,2,126.9997,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
32889,16235,1623505,1,1,96,35,6,6,6,6,"16235A01",6,2,111960,112500,"16235A",6,111960,6,1123.614,"Ontario","Ontario","Homme","Non applicable","Non applicable"
32894,16237,1623703,1,2,96,47,6,6,6,6,"16237A01",3,2,80700,72750,"16237A",3,80700,3,135.3806,"Saskatchewan","Ouest","Femme","Non applicable","Non applicable"
32905,16242,1624204,2,1,96,35,6,6,6,6,"16242A01",4,2,104525,105000,"16242A",4,104525,4,479.0334,"Ontario","Ontario","Homme","Non applicable","Non applicable"
