year,quarter,location,type,persons
1990,1,Newfoundland and Labrador,out-migration,-1757
1990,2,Newfoundland and Labrador,out-migration,-2869
1990,3,Newfoundland and Labrador,out-migration,-4713
1990,4,Newfoundland and Labrador,out-migration,-2434
1991,1,Newfoundland and Labrador,out-migration,-1707
1991,2,Newfoundland and Labrador,out-migration,-2354
1991,3,Newfoundland and Labrador,out-migration,-4233
1991,4,Newfoundland and Labrador,out-migration,-2679
1992,1,Newfoundland and Labrador,out-migration,-1669
1992,2,Newfoundland and Labrador,out-migration,-2354
1992,3,Newfoundland and Labrador,out-migration,-4108
1992,4,Newfoundland and Labrador,out-migration,-2579
1993,1,Newfoundland and Labrador,out-migration,-1606
1993,2,Newfoundland and Labrador,out-migration,-2343
1993,3,Newfoundland and Labrador,out-migration,-4130
1993,4,Newfoundland and Labrador,out-migration,-2194
1994,1,Newfoundland and Labrador,out-migration,-2198
1994,2,Newfoundland and Labrador,out-migration,-3010
1994,3,Newfoundland and Labrador,out-migration,-4884
1994,4,Newfoundland and Labrador,out-migration,-2413
1995,1,Newfoundland and Labrador,out-migration,-2745
1995,2,Newfoundland and Labrador,out-migration,-3338
1995,3,Newfoundland and Labrador,out-migration,-4689
1995,4,Newfoundland and Labrador,out-migration,-2753
1996,1,Newfoundland and Labrador,out-migration,-3317
1996,2,Newfoundland and Labrador,out-migration,-3682
1996,3,Newfoundland and Labrador,out-migration,-4676
1996,4,Newfoundland and Labrador,out-migration,-2838
1997,1,Newfoundland and Labrador,out-migration,-3492
1997,2,Newfoundland and Labrador,out-migration,-4090
1997,3,Newfoundland and Labrador,out-migration,-5282
1997,4,Newfoundland and Labrador,out-migration,-2621
1998,1,Newfoundland and Labrador,out-migration,-4476
1998,2,Newfoundland and Labrador,out-migration,-4503
1998,3,Newfoundland and Labrador,out-migration,-4000
1998,4,Newfoundland and Labrador,out-migration,-2373
1999,1,Newfoundland and Labrador,out-migration,-3509
1999,2,Newfoundland and Labrador,out-migration,-3808
1999,3,Newfoundland and Labrador,out-migration,-3477
1999,4,Newfoundland and Labrador,out-migration,-1673
2000,1,Newfoundland and Labrador,out-migration,-3724
2000,2,Newfoundland and Labrador,out-migration,-3789
2000,3,Newfoundland and Labrador,out-migration,-3468
2000,4,Newfoundland and Labrador,out-migration,-2052
2001,1,Newfoundland and Labrador,out-migration,-3247
2001,2,Newfoundland and Labrador,out-migration,-3225
2001,3,Newfoundland and Labrador,out-migration,-3223
2001,4,Newfoundland and Labrador,out-migration,-1726
2002,1,Newfoundland and Labrador,out-migration,-3262
2002,2,Newfoundland and Labrador,out-migration,-3925
2002,3,Newfoundland and Labrador,out-migration,-3255
2002,4,Newfoundland and Labrador,out-migration,-1764
2003,1,Newfoundland and Labrador,out-migration,-2442
2003,2,Newfoundland and Labrador,out-migration,-3420
2003,3,Newfoundland and Labrador,out-migration,-2621
2003,4,Newfoundland and Labrador,out-migration,-1819
2004,1,Newfoundland and Labrador,out-migration,-2686
2004,2,Newfoundland and Labrador,out-migration,-3298
2004,3,Newfoundland and Labrador,out-migration,-2967
2004,4,Newfoundland and Labrador,out-migration,-1823
2005,1,Newfoundland and Labrador,out-migration,-3355
2005,2,Newfoundland and Labrador,out-migration,-3778
2005,3,Newfoundland and Labrador,out-migration,-3255
2005,4,Newfoundland and Labrador,out-migration,-2481
2006,1,Newfoundland and Labrador,out-migration,-3621
2006,2,Newfoundland and Labrador,out-migration,-3280
2006,3,Newfoundland and Labrador,out-migration,-3888
2006,4,Newfoundland and Labrador,out-migration,-2195
2007,1,Newfoundland and Labrador,out-migration,-3272
2007,2,Newfoundland and Labrador,out-migration,-3118
2007,3,Newfoundland and Labrador,out-migration,-2706
2007,4,Newfoundland and Labrador,out-migration,-1844
2008,1,Newfoundland and Labrador,out-migration,-2679
2008,2,Newfoundland and Labrador,out-migration,-3058
2008,3,Newfoundland and Labrador,out-migration,-2336
2008,4,Newfoundland and Labrador,out-migration,-1670
2009,1,Newfoundland and Labrador,out-migration,-2398
2009,2,Newfoundland and Labrador,out-migration,-1981
2009,3,Newfoundland and Labrador,out-migration,-1811
2009,4,Newfoundland and Labrador,out-migration,-1229
2010,1,Newfoundland and Labrador,out-migration,-2154
2010,2,Newfoundland and Labrador,out-migration,-2246
2010,3,Newfoundland and Labrador,out-migration,-2208
2010,4,Newfoundland and Labrador,out-migration,-1345
2011,1,Newfoundland and Labrador,out-migration,-2081
2011,2,Newfoundland and Labrador,out-migration,-2121
2011,3,Newfoundland and Labrador,out-migration,-2172
2011,4,Newfoundland and Labrador,out-migration,-1294
2012,1,Newfoundland and Labrador,out-migration,-2763
2012,2,Newfoundland and Labrador,out-migration,-2512
2012,3,Newfoundland and Labrador,out-migration,-1923
2012,4,Newfoundland and Labrador,out-migration,-1140
2013,1,Newfoundland and Labrador,out-migration,-1860
2013,2,Newfoundland and Labrador,out-migration,-2847
2013,3,Newfoundland and Labrador,out-migration,-1860
2013,4,Newfoundland and Labrador,out-migration,-978
2014,1,Newfoundland and Labrador,out-migration,-2098
2014,2,Newfoundland and Labrador,out-migration,-2617
2014,3,Newfoundland and Labrador,out-migration,-1866
2014,4,Newfoundland and Labrador,out-migration,-1001
2015,1,Newfoundland and Labrador,out-migration,-1993
2015,2,Newfoundland and Labrador,out-migration,-2766
2015,3,Newfoundland and Labrador,out-migration,-1811
2015,4,Newfoundland and Labrador,out-migration,-1036
2016,1,Newfoundland and Labrador,out-migration,-1942
2016,2,Newfoundland and Labrador,out-migration,-2440
2016,3,Newfoundland and Labrador,out-migration,-2207
2016,4,Newfoundland and Labrador,out-migration,-1088
2017,1,Newfoundland and Labrador,out-migration,-2242
2017,2,Newfoundland and Labrador,out-migration,-2976
1961,3,Prince Edward Island,out-migration,-862
1961,4,Prince Edward Island,out-migration,-989
1962,1,Prince Edward Island,out-migration,-758
1962,2,Prince Edward Island,out-migration,-607
1962,3,Prince Edward Island,out-migration,-1658
1962,4,Prince Edward Island,out-migration,-1365
1963,1,Prince Edward Island,out-migration,-699
1963,2,Prince Edward Island,out-migration,-623
1963,3,Prince Edward Island,out-migration,-1344
1963,4,Prince Edward Island,out-migration,-1409
1964,1,Prince Edward Island,out-migration,-766
1964,2,Prince Edward Island,out-migration,-666
1964,3,Prince Edward Island,out-migration,-1446
1964,4,Prince Edward Island,out-migration,-1464
1965,1,Prince Edward Island,out-migration,-1030
1965,2,Prince Edward Island,out-migration,-756
1965,3,Prince Edward Island,out-migration,-1586
1965,4,Prince Edward Island,out-migration,-1571
1966,1,Prince Edward Island,out-migration,-902
1966,2,Prince Edward Island,out-migration,-667
1966,3,Prince Edward Island,out-migration,-1668
1966,4,Prince Edward Island,out-migration,-1482
1967,1,Prince Edward Island,out-migration,-741
1967,2,Prince Edward Island,out-migration,-619
1967,3,Prince Edward Island,out-migration,-1322
1967,4,Prince Edward Island,out-migration,-1195
1968,1,Prince Edward Island,out-migration,-639
1968,2,Prince Edward Island,out-migration,-771
1968,3,Prince Edward Island,out-migration,-1421
1968,4,Prince Edward Island,out-migration,-1469
1969,1,Prince Edward Island,out-migration,-816
1969,2,Prince Edward Island,out-migration,-813
1969,3,Prince Edward Island,out-migration,-1551
1969,4,Prince Edward Island,out-migration,-1569
1970,1,Prince Edward Island,out-migration,-931
1970,2,Prince Edward Island,out-migration,-694
1970,3,Prince Edward Island,out-migration,-1088
1970,4,Prince Edward Island,out-migration,-1123
1971,1,Prince Edward Island,out-migration,-864
1971,2,Prince Edward Island,out-migration,-736
1971,3,Prince Edward Island,out-migration,-1481
1971,4,Prince Edward Island,out-migration,-1253
1972,1,Prince Edward Island,out-migration,-548
1972,2,Prince Edward Island,out-migration,-685
1972,3,Prince Edward Island,out-migration,-1173
1972,4,Prince Edward Island,out-migration,-981
1973,1,Prince Edward Island,out-migration,-683
1973,2,Prince Edward Island,out-migration,-708
1973,3,Prince Edward Island,out-migration,-1576
1973,4,Prince Edward Island,out-migration,-1369
1974,1,Prince Edward Island,out-migration,-593
1974,2,Prince Edward Island,out-migration,-588
1974,3,Prince Edward Island,out-migration,-1578
1974,4,Prince Edward Island,out-migration,-1017
1975,1,Prince Edward Island,out-migration,-815
1975,2,Prince Edward Island,out-migration,-593
1975,3,Prince Edward Island,out-migration,-1328
1975,4,Prince Edward Island,out-migration,-1061
1976,1,Prince Edward Island,out-migration,-867
1976,2,Prince Edward Island,out-migration,-556
1976,3,Prince Edward Island,out-migration,-1709
1976,4,Prince Edward Island,out-migration,-788
1977,1,Prince Edward Island,out-migration,-609
1977,2,Prince Edward Island,out-migration,-577
1977,3,Prince Edward Island,out-migration,-1500
1977,4,Prince Edward Island,out-migration,-694
1978,1,Prince Edward Island,out-migration,-528
1978,2,Prince Edward Island,out-migration,-511
1978,3,Prince Edward Island,out-migration,-1694
1978,4,Prince Edward Island,out-migration,-790
1979,1,Prince Edward Island,out-migration,-602
1979,2,Prince Edward Island,out-migration,-572
1979,3,Prince Edward Island,out-migration,-1629
1979,4,Prince Edward Island,out-migration,-755
1980,1,Prince Edward Island,out-migration,-581
1980,2,Prince Edward Island,out-migration,-578
1980,3,Prince Edward Island,out-migration,-1987
1980,4,Prince Edward Island,out-migration,-923
1981,1,Prince Edward Island,out-migration,-718
1981,2,Prince Edward Island,out-migration,-739
1981,3,Prince Edward Island,out-migration,-1894
1981,4,Prince Edward Island,out-migration,-865
1982,1,Prince Edward Island,out-migration,-823
1982,2,Prince Edward Island,out-migration,-649
1982,3,Prince Edward Island,out-migration,-1306
1982,4,Prince Edward Island,out-migration,-594
1983,1,Prince Edward Island,out-migration,-384
1983,2,Prince Edward Island,out-migration,-483
1983,3,Prince Edward Island,out-migration,-1122
1983,4,Prince Edward Island,out-migration,-545
1984,1,Prince Edward Island,out-migration,-351
1984,2,Prince Edward Island,out-migration,-404
1984,3,Prince Edward Island,out-migration,-1210
1984,4,Prince Edward Island,out-migration,-547
1985,1,Prince Edward Island,out-migration,-423
1985,2,Prince Edward Island,out-migration,-474
1985,3,Prince Edward Island,out-migration,-1300
1985,4,Prince Edward Island,out-migration,-581
1986,1,Prince Edward Island,out-migration,-450
1986,2,Prince Edward Island,out-migration,-575
1986,3,Prince Edward Island,out-migration,-1370
1986,4,Prince Edward Island,out-migration,-571
1987,1,Prince Edward Island,out-migration,-336
1987,2,Prince Edward Island,out-migration,-648
1987,3,Prince Edward Island,out-migration,-1240
1987,4,Prince Edward Island,out-migration,-517
1988,1,Prince Edward Island,out-migration,-466
1988,2,Prince Edward Island,out-migration,-645
1988,3,Prince Edward Island,out-migration,-1427
1988,4,Prince Edward Island,out-migration,-502
1989,1,Prince Edward Island,out-migration,-382
1989,2,Prince Edward Island,out-migration,-698
1989,3,Prince Edward Island,out-migration,-1708
1989,4,Prince Edward Island,out-migration,-585
1990,1,Prince Edward Island,out-migration,-445
1990,2,Prince Edward Island,out-migration,-837
1990,3,Prince Edward Island,out-migration,-1228
1990,4,Prince Edward Island,out-migration,-585
1991,1,Prince Edward Island,out-migration,-421
1991,2,Prince Edward Island,out-migration,-900
1991,3,Prince Edward Island,out-migration,-1446
1991,4,Prince Edward Island,out-migration,-433
1992,1,Prince Edward Island,out-migration,-459
1992,2,Prince Edward Island,out-migration,-836
1992,3,Prince Edward Island,out-migration,-990
1992,4,Prince Edward Island,out-migration,-312
1993,1,Prince Edward Island,out-migration,-330
1993,2,Prince Edward Island,out-migration,-363
1993,3,Prince Edward Island,out-migration,-795
1993,4,Prince Edward Island,out-migration,-437
1994,1,Prince Edward Island,out-migration,-318
1994,2,Prince Edward Island,out-migration,-516
1994,3,Prince Edward Island,out-migration,-712
1994,4,Prince Edward Island,out-migration,-456
1995,1,Prince Edward Island,out-migration,-422
1995,2,Prince Edward Island,out-migration,-575
1995,3,Prince Edward Island,out-migration,-627
1995,4,Prince Edward Island,out-migration,-567
1996,1,Prince Edward Island,out-migration,-483
1996,2,Prince Edward Island,out-migration,-567
1996,3,Prince Edward Island,out-migration,-718
1996,4,Prince Edward Island,out-migration,-558
1997,1,Prince Edward Island,out-migration,-572
1997,2,Prince Edward Island,out-migration,-710
1997,3,Prince Edward Island,out-migration,-849
1997,4,Prince Edward Island,out-migration,-646
1998,1,Prince Edward Island,out-migration,-746
1998,2,Prince Edward Island,out-migration,-745
1998,3,Prince Edward Island,out-migration,-798
1998,4,Prince Edward Island,out-migration,-345
1999,1,Prince Edward Island,out-migration,-462
1999,2,Prince Edward Island,out-migration,-781
1999,3,Prince Edward Island,out-migration,-694
1999,4,Prince Edward Island,out-migration,-437
2000,1,Prince Edward Island,out-migration,-742
2000,2,Prince Edward Island,out-migration,-685
2000,3,Prince Edward Island,out-migration,-831
2000,4,Prince Edward Island,out-migration,-435
2001,1,Prince Edward Island,out-migration,-496
2001,2,Prince Edward Island,out-migration,-640
2001,3,Prince Edward Island,out-migration,-673
2001,4,Prince Edward Island,out-migration,-403
2002,1,Prince Edward Island,out-migration,-499
2002,2,Prince Edward Island,out-migration,-1002
2002,3,Prince Edward Island,out-migration,-689
2002,4,Prince Edward Island,out-migration,-416
2003,1,Prince Edward Island,out-migration,-492
2003,2,Prince Edward Island,out-migration,-924
2003,3,Prince Edward Island,out-migration,-717
2003,4,Prince Edward Island,out-migration,-420
2004,1,Prince Edward Island,out-migration,-449
2004,2,Prince Edward Island,out-migration,-840
2004,3,Prince Edward Island,out-migration,-811
2004,4,Prince Edward Island,out-migration,-410
2005,1,Prince Edward Island,out-migration,-567
2005,2,Prince Edward Island,out-migration,-888
2005,3,Prince Edward Island,out-migration,-904
2005,4,Prince Edward Island,out-migration,-527
2006,1,Prince Edward Island,out-migration,-822
2006,2,Prince Edward Island,out-migration,-846
2006,3,Prince Edward Island,out-migration,-1117
2006,4,Prince Edward Island,out-migration,-581
2007,1,Prince Edward Island,out-migration,-736
2007,2,Prince Edward Island,out-migration,-900
2007,3,Prince Edward Island,out-migration,-951
2007,4,Prince Edward Island,out-migration,-637
2008,1,Prince Edward Island,out-migration,-729
2008,2,Prince Edward Island,out-migration,-795
2008,3,Prince Edward Island,out-migration,-802
2008,4,Prince Edward Island,out-migration,-728
2009,1,Prince Edward Island,out-migration,-795
2009,2,Prince Edward Island,out-migration,-733
2009,3,Prince Edward Island,out-migration,-764
2009,4,Prince Edward Island,out-migration,-484
2010,1,Prince Edward Island,out-migration,-603
2010,2,Prince Edward Island,out-migration,-798
2010,3,Prince Edward Island,out-migration,-874
2010,4,Prince Edward Island,out-migration,-494
2011,1,Prince Edward Island,out-migration,-546
2011,2,Prince Edward Island,out-migration,-790
2011,3,Prince Edward Island,out-migration,-1042
2011,4,Prince Edward Island,out-migration,-693
2012,1,Prince Edward Island,out-migration,-728
2012,2,Prince Edward Island,out-migration,-1084
2012,3,Prince Edward Island,out-migration,-1009
2012,4,Prince Edward Island,out-migration,-687
2013,1,Prince Edward Island,out-migration,-764
2013,2,Prince Edward Island,out-migration,-1166
2013,3,Prince Edward Island,out-migration,-975
2013,4,Prince Edward Island,out-migration,-599
2014,1,Prince Edward Island,out-migration,-718
2014,2,Prince Edward Island,out-migration,-1022
2014,3,Prince Edward Island,out-migration,-855
2014,4,Prince Edward Island,out-migration,-506
2015,1,Prince Edward Island,out-migration,-805
2015,2,Prince Edward Island,out-migration,-1202
2015,3,Prince Edward Island,out-migration,-774
2015,4,Prince Edward Island,out-migration,-500
2016,1,Prince Edward Island,out-migration,-607
2016,2,Prince Edward Island,out-migration,-1153
2016,3,Prince Edward Island,out-migration,-1255
2016,4,Prince Edward Island,out-migration,-436
2017,1,Prince Edward Island,out-migration,-1004
2017,2,Prince Edward Island,out-migration,-1391
1961,3,Nova Scotia,out-migration,-7792
1961,4,Nova Scotia,out-migration,-6766
1962,1,Nova Scotia,out-migration,-4169
1962,2,Nova Scotia,out-migration,-4347
1962,3,Nova Scotia,out-migration,-8010
1962,4,Nova Scotia,out-migration,-8614
1963,1,Nova Scotia,out-migration,-4562
1963,2,Nova Scotia,out-migration,-5102
1963,3,Nova Scotia,out-migration,-8610
1963,4,Nova Scotia,out-migration,-7898
1964,1,Nova Scotia,out-migration,-4454
1964,2,Nova Scotia,out-migration,-4627
1964,3,Nova Scotia,out-migration,-8610
1964,4,Nova Scotia,out-migration,-8314
1965,1,Nova Scotia,out-migration,-6588
1965,2,Nova Scotia,out-migration,-4839
1965,3,Nova Scotia,out-migration,-9345
1965,4,Nova Scotia,out-migration,-9692
1966,1,Nova Scotia,out-migration,-5141
1966,2,Nova Scotia,out-migration,-4695
1966,3,Nova Scotia,out-migration,-11343
1966,4,Nova Scotia,out-migration,-8696
1967,1,Nova Scotia,out-migration,-4821
1967,2,Nova Scotia,out-migration,-4217
1967,3,Nova Scotia,out-migration,-9518
1967,4,Nova Scotia,out-migration,-7933
1968,1,Nova Scotia,out-migration,-4479
1968,2,Nova Scotia,out-migration,-4463
1968,3,Nova Scotia,out-migration,-6572
1968,4,Nova Scotia,out-migration,-8871
1969,1,Nova Scotia,out-migration,-4599
1969,2,Nova Scotia,out-migration,-3852
1969,3,Nova Scotia,out-migration,-8811
1969,4,Nova Scotia,out-migration,-8477
1970,1,Nova Scotia,out-migration,-5466
1970,2,Nova Scotia,out-migration,-4128
1970,3,Nova Scotia,out-migration,-7759
1970,4,Nova Scotia,out-migration,-8822
1971,1,Nova Scotia,out-migration,-4908
1971,2,Nova Scotia,out-migration,-3884
1971,3,Nova Scotia,out-migration,-8237
1971,4,Nova Scotia,out-migration,-6912
1972,1,Nova Scotia,out-migration,-4732
1972,2,Nova Scotia,out-migration,-3416
1972,3,Nova Scotia,out-migration,-6542
1972,4,Nova Scotia,out-migration,-5160
1973,1,Nova Scotia,out-migration,-4625
1973,2,Nova Scotia,out-migration,-4047
1973,3,Nova Scotia,out-migration,-7372
1973,4,Nova Scotia,out-migration,-8101
1974,1,Nova Scotia,out-migration,-5748
1974,2,Nova Scotia,out-migration,-4010
1974,3,Nova Scotia,out-migration,-8476
1974,4,Nova Scotia,out-migration,-7365
1975,1,Nova Scotia,out-migration,-4669
1975,2,Nova Scotia,out-migration,-3850
1975,3,Nova Scotia,out-migration,-6714
1975,4,Nova Scotia,out-migration,-5880
1976,1,Nova Scotia,out-migration,-4472
1976,2,Nova Scotia,out-migration,-3807
1976,3,Nova Scotia,out-migration,-8799
1976,4,Nova Scotia,out-migration,-4554
1977,1,Nova Scotia,out-migration,-3755
1977,2,Nova Scotia,out-migration,-4540
1977,3,Nova Scotia,out-migration,-8328
1977,4,Nova Scotia,out-migration,-4311
1978,1,Nova Scotia,out-migration,-3538
1978,2,Nova Scotia,out-migration,-4294
1978,3,Nova Scotia,out-migration,-8242
1978,4,Nova Scotia,out-migration,-4231
1979,1,Nova Scotia,out-migration,-3521
1979,2,Nova Scotia,out-migration,-4268
1979,3,Nova Scotia,out-migration,-8373
1979,4,Nova Scotia,out-migration,-4285
1980,1,Nova Scotia,out-migration,-3516
1980,2,Nova Scotia,out-migration,-4240
1980,3,Nova Scotia,out-migration,-8956
1980,4,Nova Scotia,out-migration,-4544
1981,1,Nova Scotia,out-migration,-3653
1981,2,Nova Scotia,out-migration,-4420
1981,3,Nova Scotia,out-migration,-8355
1981,4,Nova Scotia,out-migration,-4400
1982,1,Nova Scotia,out-migration,-3940
1982,2,Nova Scotia,out-migration,-4140
1982,3,Nova Scotia,out-migration,-6264
1982,4,Nova Scotia,out-migration,-3242
1983,1,Nova Scotia,out-migration,-2513
1983,2,Nova Scotia,out-migration,-3356
1983,3,Nova Scotia,out-migration,-5788
1983,4,Nova Scotia,out-migration,-3040
1984,1,Nova Scotia,out-migration,-2381
1984,2,Nova Scotia,out-migration,-3011
1984,3,Nova Scotia,out-migration,-5815
1984,4,Nova Scotia,out-migration,-3223
1985,1,Nova Scotia,out-migration,-2464
1985,2,Nova Scotia,out-migration,-3194
1985,3,Nova Scotia,out-migration,-7018
1985,4,Nova Scotia,out-migration,-3915
1986,1,Nova Scotia,out-migration,-2971
1986,2,Nova Scotia,out-migration,-3902
1986,3,Nova Scotia,out-migration,-7149
1986,4,Nova Scotia,out-migration,-3494
1987,1,Nova Scotia,out-migration,-2854
1987,2,Nova Scotia,out-migration,-4170
1987,3,Nova Scotia,out-migration,-8435
1987,4,Nova Scotia,out-migration,-4200
1988,1,Nova Scotia,out-migration,-3037
1988,2,Nova Scotia,out-migration,-4082
1988,3,Nova Scotia,out-migration,-8292
1988,4,Nova Scotia,out-migration,-3794
1989,1,Nova Scotia,out-migration,-2802
1989,2,Nova Scotia,out-migration,-3784
1989,3,Nova Scotia,out-migration,-8722
1989,4,Nova Scotia,out-migration,-3983
1990,1,Nova Scotia,out-migration,-2950
1990,2,Nova Scotia,out-migration,-4554
1990,3,Nova Scotia,out-migration,-8245
1990,4,Nova Scotia,out-migration,-3368
1991,1,Nova Scotia,out-migration,-2869
1991,2,Nova Scotia,out-migration,-3999
1991,3,Nova Scotia,out-migration,-7873
1991,4,Nova Scotia,out-migration,-3288
1992,1,Nova Scotia,out-migration,-2985
1992,2,Nova Scotia,out-migration,-3909
1992,3,Nova Scotia,out-migration,-7704
1992,4,Nova Scotia,out-migration,-3191
1993,1,Nova Scotia,out-migration,-2935
1993,2,Nova Scotia,out-migration,-3781
1993,3,Nova Scotia,out-migration,-6632
1993,4,Nova Scotia,out-migration,-3307
1994,1,Nova Scotia,out-migration,-2775
1994,2,Nova Scotia,out-migration,-4432
1994,3,Nova Scotia,out-migration,-6976
1994,4,Nova Scotia,out-migration,-3635
1995,1,Nova Scotia,out-migration,-3012
1995,2,Nova Scotia,out-migration,-4417
1995,3,Nova Scotia,out-migration,-6199
1995,4,Nova Scotia,out-migration,-3747
1996,1,Nova Scotia,out-migration,-3163
1996,2,Nova Scotia,out-migration,-4399
1996,3,Nova Scotia,out-migration,-6572
1996,4,Nova Scotia,out-migration,-2963
1997,1,Nova Scotia,out-migration,-3488
1997,2,Nova Scotia,out-migration,-4503
1997,3,Nova Scotia,out-migration,-7009
1997,4,Nova Scotia,out-migration,-2915
1998,1,Nova Scotia,out-migration,-3676
1998,2,Nova Scotia,out-migration,-5273
1998,3,Nova Scotia,out-migration,-5124
1998,4,Nova Scotia,out-migration,-2695
1999,1,Nova Scotia,out-migration,-3130
1999,2,Nova Scotia,out-migration,-4379
1999,3,Nova Scotia,out-migration,-5052
1999,4,Nova Scotia,out-migration,-2509
2000,1,Nova Scotia,out-migration,-3827
2000,2,Nova Scotia,out-migration,-5154
2000,3,Nova Scotia,out-migration,-5928
2000,4,Nova Scotia,out-migration,-3027
2001,1,Nova Scotia,out-migration,-3819
2001,2,Nova Scotia,out-migration,-4616
2001,3,Nova Scotia,out-migration,-5688
2001,4,Nova Scotia,out-migration,-2922
2002,1,Nova Scotia,out-migration,-3866
2002,2,Nova Scotia,out-migration,-4753
2002,3,Nova Scotia,out-migration,-5682
2002,4,Nova Scotia,out-migration,-2720
2003,1,Nova Scotia,out-migration,-3198
2003,2,Nova Scotia,out-migration,-4576
2003,3,Nova Scotia,out-migration,-5332
2003,4,Nova Scotia,out-migration,-2433
2004,1,Nova Scotia,out-migration,-3457
2004,2,Nova Scotia,out-migration,-4637
2004,3,Nova Scotia,out-migration,-5972
2004,4,Nova Scotia,out-migration,-3047
2005,1,Nova Scotia,out-migration,-4256
2005,2,Nova Scotia,out-migration,-4806
2005,3,Nova Scotia,out-migration,-5908
2005,4,Nova Scotia,out-migration,-3356
2006,1,Nova Scotia,out-migration,-4142
2006,2,Nova Scotia,out-migration,-4681
2006,3,Nova Scotia,out-migration,-7072
2006,4,Nova Scotia,out-migration,-4070
2007,1,Nova Scotia,out-migration,-3781
2007,2,Nova Scotia,out-migration,-4117
2007,3,Nova Scotia,out-migration,-6096
2007,4,Nova Scotia,out-migration,-3012
2008,1,Nova Scotia,out-migration,-3864
2008,2,Nova Scotia,out-migration,-4812
2008,3,Nova Scotia,out-migration,-5693
2008,4,Nova Scotia,out-migration,-2871
2009,1,Nova Scotia,out-migration,-3782
2009,2,Nova Scotia,out-migration,-3872
2009,3,Nova Scotia,out-migration,-4222
2009,4,Nova Scotia,out-migration,-2314
2010,1,Nova Scotia,out-migration,-4226
2010,2,Nova Scotia,out-migration,-3798
2010,3,Nova Scotia,out-migration,-4591
2010,4,Nova Scotia,out-migration,-2671
2011,1,Nova Scotia,out-migration,-3434
2011,2,Nova Scotia,out-migration,-3898
2011,3,Nova Scotia,out-migration,-5264
2011,4,Nova Scotia,out-migration,-3805
2012,1,Nova Scotia,out-migration,-4839
2012,2,Nova Scotia,out-migration,-4954
2012,3,Nova Scotia,out-migration,-5401
2012,4,Nova Scotia,out-migration,-3043
2013,1,Nova Scotia,out-migration,-3999
2013,2,Nova Scotia,out-migration,-5326
2013,3,Nova Scotia,out-migration,-4881
2013,4,Nova Scotia,out-migration,-2399
2014,1,Nova Scotia,out-migration,-4227
2014,2,Nova Scotia,out-migration,-5619
2014,3,Nova Scotia,out-migration,-4461
2014,4,Nova Scotia,out-migration,-2499
2015,1,Nova Scotia,out-migration,-4782
2015,2,Nova Scotia,out-migration,-6050
2015,3,Nova Scotia,out-migration,-4701
2015,4,Nova Scotia,out-migration,-2225
2016,1,Nova Scotia,out-migration,-3967
2016,2,Nova Scotia,out-migration,-5036
2016,3,Nova Scotia,out-migration,-5015
2016,4,Nova Scotia,out-migration,-2247
2017,1,Nova Scotia,out-migration,-3876
2017,2,Nova Scotia,out-migration,-5428
1961,3,New Brunswick,out-migration,-6408
1961,4,New Brunswick,out-migration,-5949
1962,1,New Brunswick,out-migration,-3713
1962,2,New Brunswick,out-migration,-3499
1962,3,New Brunswick,out-migration,-6633
1962,4,New Brunswick,out-migration,-7231
1963,1,New Brunswick,out-migration,-3730
1963,2,New Brunswick,out-migration,-4666
1963,3,New Brunswick,out-migration,-7574
1963,4,New Brunswick,out-migration,-8006
1964,1,New Brunswick,out-migration,-4153
1964,2,New Brunswick,out-migration,-3825
1964,3,New Brunswick,out-migration,-7417
1964,4,New Brunswick,out-migration,-7193
1965,1,New Brunswick,out-migration,-4651
1965,2,New Brunswick,out-migration,-3968
1965,3,New Brunswick,out-migration,-7960
1965,4,New Brunswick,out-migration,-8243
1966,1,New Brunswick,out-migration,-5148
1966,2,New Brunswick,out-migration,-4809
1966,3,New Brunswick,out-migration,-8782
1966,4,New Brunswick,out-migration,-7953
1967,1,New Brunswick,out-migration,-4174
1967,2,New Brunswick,out-migration,-3795
1967,3,New Brunswick,out-migration,-6846
1967,4,New Brunswick,out-migration,-7292
1968,1,New Brunswick,out-migration,-3722
1968,2,New Brunswick,out-migration,-3752
1968,3,New Brunswick,out-migration,-4830
1968,4,New Brunswick,out-migration,-8746
1969,1,New Brunswick,out-migration,-4254
1969,2,New Brunswick,out-migration,-4066
1969,3,New Brunswick,out-migration,-7380
1969,4,New Brunswick,out-migration,-9466
1970,1,New Brunswick,out-migration,-4791
1970,2,New Brunswick,out-migration,-4055
1970,3,New Brunswick,out-migration,-6864
1970,4,New Brunswick,out-migration,-6849
1971,1,New Brunswick,out-migration,-4013
1971,2,New Brunswick,out-migration,-3054
1971,3,New Brunswick,out-migration,-6538
1971,4,New Brunswick,out-migration,-6233
1972,1,New Brunswick,out-migration,-3246
1972,2,New Brunswick,out-migration,-3789
1972,3,New Brunswick,out-migration,-5796
1972,4,New Brunswick,out-migration,-5114
1973,1,New Brunswick,out-migration,-3895
1973,2,New Brunswick,out-migration,-3782
1973,3,New Brunswick,out-migration,-6078
1973,4,New Brunswick,out-migration,-6102
1974,1,New Brunswick,out-migration,-4113
1974,2,New Brunswick,out-migration,-3249
1974,3,New Brunswick,out-migration,-4582
1974,4,New Brunswick,out-migration,-6755
1975,1,New Brunswick,out-migration,-3862
1975,2,New Brunswick,out-migration,-2836
1975,3,New Brunswick,out-migration,-4376
